,Unnamed: 0,Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency,Lat,Lng,Hour,Density
211,211,Burglary from Motor Vehicle,233010582,Theft - From Motor Vehicle - Petit - Ziu,9/11/2023,10:00:00 PM,Parking Lot,"Xx W Northwood Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),40.0081621,-83.0124552,22,819.7707041203038
212,212,Assault - Simple,230711588,Domestic Violence,9/11/2023,9:34:00 PM,Single Family Home,"12xx E 16th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),39.999626,-82.9767858,21,1363.645783432956
213,213,Weapons Violation,230711337,Weapons Offense,9/11/2023,9:00:00 PM,70 - Other Vehicle,"Akola St & Hiawatha Ave, Columbus, Oh 43228",Intersection,Columbus Division Of Police (Oh),40.01739389999999,-82.9865011,21,1126.7677387807928
214,214,All Other - Criminal,230711755,Menacing - Ziu,9/11/2023,9:00:00 PM,School,"6xx Jack Gibbs Blvd, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9725031,-82.9863224,21,511.891391274913
215,215,Motor Vehicle Theft,230713061,Motor Vehicle Theft - Generalist,9/11/2023,8:45:00 PM,Multiple Dwelling,"5xx Stinchcomb Dr, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0229737,-83.0305728,20,373.26142269775363
216,216,Motor Vehicle Theft,230711935,Motor Vehicle Theft - Generalist,9/11/2023,8:30:00 PM,Parking Lot,"1xx E 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9864137,-82.988532,20,1577.3012334803075
217,217,All Other - Criminal,230711580,Menacing - Ziu,9/11/2023,7:27:00 PM,School,"1xx Arcadia Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0174856,-83.0047058,19,527.7207528704809
218,218,Motor Vehicle Theft,230711571,Motor Vehicle Theft - Generalist,9/11/2023,5:30:00 PM,Parking Lot,"39xx N High St, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh),40.052594,-83.0200496,17,374.1339975327811
219,219,Motor Vehicle Theft,230716367,Motor Vehicle Theft - Generalist,9/11/2023,4:39:00 PM,Single Family Home,"5xx E Weber Rd, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0245397,-83.0043657,16,772.7728805704663
220,220,Robbery - Individual,230710857,Robbery - Individual,9/11/2023,4:34:00 PM,Parking Lot,"8xx E 17th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0003473,-82.9754196,16,617.5489451484027
221,221,All Other - Non-Criminal,202301402,Non-criminal Incident,9/11/2023,2:50:00 PM,,"22xx North Star Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department,40.008189,-83.0479121,14,520.6886389616409
222,222,All Other - Criminal,230710239,Menacing - Ziu,9/11/2023,10:30:00 AM,Multiple Dwelling,"Xx S 4th St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9367312,-82.9928294,10,740.4526086940562
223,223,All Other - Criminal,230710066,Menacing - Ziu,9/11/2023,10:10:00 AM,Residential Facility,"Xx S 4th St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9367312,-82.9928294,10,740.4526086940562
224,224,All Other - Criminal,230709967,Menacing - Ziu,9/11/2023,9:27:00 AM,Other Business Office,"13xx Essex Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9925301,-82.9875749,9,987.2462035807116
225,225,Motor Vehicle Theft,230710294,Motor Vehicle Theft - Generalist,9/11/2023,9:00:00 AM,Parking Lot,"11xx Hunter Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.983587,-83.0097638,9,707.3012488702184
226,226,All Other - Criminal,230709959,Telecommunication Harassment - Ziu,9/11/2023,8:45:00 AM,Multiple Dwelling,"13xx N 4th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9944071,-82.9990764,8,520.9992278854257
227,227,All Other - Criminal,230711401,Menacing - Ziu,9/11/2023,8:10:00 AM,Street,"W 9th Ave & Hunter Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh),39.9930807,-83.0097255,8,681.7762399104129
228,228,All Other - Non-Criminal,230740058,Missing Person,9/11/2023,8:00:00 AM,Multiple Dwelling,"11xx E 18th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0017017,-82.9839378,8,391.22616631137083
229,229,All Other - Criminal,230709769,Menacing - Ziu,9/11/2023,7:57:00 AM,School,"1xx Arcadia Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0174856,-83.0047058,7,619.6367986674146
230,230,Motor Vehicle Theft,230692968,Motor Vehicle Theft - Generalist,9/11/2023,7:50:00 AM,Other Commercial Service Location,"9xx Joyce Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0085568,-82.9628185,7,907.0534217527842
231,231,Burglary from Motor Vehicle,230709748,Theft - From Motor Vehicle - Petit - Ziu,9/11/2023,7:45:00 AM,Parking Lot,"4xx W Broad St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9581475,-83.0341786,7,370.2262361159518
232,232,All Other - Non-Criminal,230711672,Missing Person,9/11/2023,7:30:00 AM,Single Family Home,"14xx Jefferson Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0040603,-82.9829805,7,1052.7448475261497
233,233,Motor Vehicle Theft,230710001,Motor Vehicle Theft - Generalist,9/11/2023,1:00:00 AM,Parking Lot,"22xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9940977,-83.0068864,1,1806.4520906733962
234,234,Weapons Violation,230709400,Weapons Offense,9/11/2023,12:54:00 AM,Street,"Ontario Ave & Loretta St, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh),40.0150284,-82.9767236,12,1451.7556915526145
235,235,Traffic Incident,230709364,Traffic Arrest,9/11/2023,12:22:00 AM,Street,"W 3rd St & Perry Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh),39.9840027,-83.01905339999999,12,690.6262532910623
236,236,Theft,23000744,Theft - All Other Larceny,9/10/2023,11:01:00 PM,,"12xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department,39.9795352,-83.0451845,23,388.3550558024123
237,237,Drugs / Narcotics Violation,23000743,Possession Of Drugs,9/10/2023,10:42:00 PM,,Grandview Ave/w 2nd Ave Grandview Heights Oh,Address,Grandview Heights Police Department,39.9835201,-83.044885,22,787.009585331334
238,238,Motor Vehicle Theft,230709248,Motor Vehicle Theft - Generalist,9/10/2023,10:15:00 PM,Street,"20xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9940977,-83.0068864,22,1348.5144506913812
239,239,Robbery - Individual,230709139,Robbery - Individual,9/10/2023,10:03:00 PM,Parking Lot,"12xx Essex Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9925301,-82.9875749,22,1710.005149424724
240,240,All Other - Criminal,230709174,Menacing - Ziu,9/10/2023,10:00:00 PM,Variety/convenience Store,"3xx N 20th St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh),39.9689971,-82.9735305,22,1547.97500061795
