Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
Motor Vehicle Theft,230700788,Motor Vehicle Theft - Generalist,9/7/2023,9:00:00 PM,Street,"10xx Chittenden Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230704686,Motor Vehicle Theft - Generalist,9/7/2023,8:13:00 PM,Street,"Sr 315 S And I, 6xx W Columbus, Oh, 43215",Intersection,Columbus Division Of Police (Oh)
Weapons Violation,230700229,Weapons Offense,9/7/2023,8:08:00 PM,Street,"22xx Howey Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230700012,Domestic Violence,9/7/2023,6:30:00 PM,Multiple Dwelling,"3xx E 13th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,233010446,Menacing - Ziu,9/7/2023,6:20:00 PM,Parking Lot,"14xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230701163,Motor Vehicle Theft - Generalist,9/7/2023,6:00:00 PM,Parking Lot,"21xx Summit St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,202301392,Theft_deception - All Other Thefts,9/7/2023,6:00:00 PM,Single Family Home,"16xx Tremont Rd, Upper Arlington, Oh 43212",Address,Upper Arlington Police Department
Motor Vehicle Theft,233010444,Motor Vehicle Theft - Generalist,9/7/2023,5:50:00 PM,Street,"7xx Thurber Dr E, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301370,Issuance Of Warrant Upon Failure To Appear,9/7/2023,2:57:00 PM,Jail/prison,"3xx Lincoln Ave, Lancaster, Oh 43130",Address,Upper Arlington Police Department
Theft,23000730,Theft - All Other Larceny,9/7/2023,12:08:00 PM,,"11xx Parkway Dr, Columbus, Oh",Address,Grandview Heights Police Department
Theft,230701110,Theft - Mail,9/7/2023,12:00:00 PM,Other Business Office,"29xx Silver Dr, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230698989,Menacing - Ziu,9/7/2023,11:49:00 AM,Single Family Home,"15xx Republic Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Shoplifting,23000729,Theft - Shoplifting,9/7/2023,11:38:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
All Other - Non-Criminal,202301367,Non-criminal Incident,9/7/2023,11:00:00 AM,,"13xx Fishinger Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Disorderly Conduct,230698902,Disorderly Conduct,9/7/2023,11:00:00 AM,Street,"E 11th Ave & N Grant Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
All Other - Criminal,202301365,Warrant,9/7/2023,8:01:00 AM,Street,"Kenny Dr & Shady Hill Rd, Columbus, Oh 43221",Address,Upper Arlington Police Department
All Other - Criminal,230698557,Menacing - Ziu,9/7/2023,7:32:00 AM,Single Family Home,"9xx E 15th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230698505,Domestic Violence,9/7/2023,7:30:00 AM,Single Family Home,"3xx Tibet Rd, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230714977,Felony Assault,9/7/2023,3:00:00 AM,Residential Facility,"37xx Olentangy River Rd, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh)
Weapons Violation,230698095,Weapons Offense,9/7/2023,1:57:00 AM,School,"13xx Duxberry Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230697974,Traffic Arrest,9/7/2023,12:26:00 AM,Street,"Xx E 15th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230697896,Robbery - Individual,9/6/2023,11:20:00 PM,Parking Lot,"8xx Mt Vernon Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Assault - Simple,230697885,Domestic Violence,9/6/2023,11:00:00 PM,57 - Camp / Campground,"Iro, 27xx N High St, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301363,Issuance Of Warrant Upon Failure To Appear,9/6/2023,10:43:00 PM,Government Office,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Assault - Simple,230699854,Domestic Violence,9/6/2023,10:30:00 PM,Single Family Home,"29xx Hiawatha St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230697715,Traffic Arrest,9/6/2023,9:37:00 PM,Street,"I6xx W B And Neil Ave, Columbus, Oh 43215",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230697597,Motor Vehicle Theft - Generalist,9/6/2023,8:47:00 PM,Multiple Dwelling,"8xx Ingleside Ave, Columbus, Oh 43204",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230697573,Menacing - Ziu,9/6/2023,8:37:00 PM,Yard,"11xx Walters St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230697226,Menacing - Ziu,9/6/2023,6:19:00 PM,Library,"14xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230698256,Motor Vehicle Theft - Generalist,9/6/2023,6:00:00 PM,Street,"4xx E 12th Ave, Apt A Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230697151,Menacing - Ziu,9/6/2023,5:52:00 PM,Single Family Home,"13xx E Maynard Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230696933,Motor Vehicle Theft - Generalist,9/6/2023,4:30:00 PM,Parking Lot,"7xx Camden Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,230698880,Theft - Mail,9/6/2023,3:31:00 PM,Financial Institution,"17xx Genessee Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301359,Issuance Of Warrant Upon Failure To Appear,9/6/2023,3:20:00 PM,Street,"14xx W Lane Ave, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Motor Vehicle Theft,230696828,Motor Vehicle Theft - Generalist,9/6/2023,2:41:00 PM,Parking Lot,"7xx E Hudson St, Columbus, Oh 43221",Address,Columbus Division Of Police (Oh)
Assault - Simple,230696971,Domestic Violence,9/6/2023,2:35:00 PM,Multiple Dwelling,"11xx Fabron Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,202301357,Non-criminal Incident,9/6/2023,1:49:00 PM,,"16xx Andover Rd, Upper Arlington, Oh 43212",Address,Upper Arlington Police Department
Motor Vehicle Theft,230698135,Motor Vehicle Theft - Generalist,9/6/2023,1:00:00 PM,Street,"2xx W Hubbard Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Theft,202301397,Theft - All Other Thefts,9/6/2023,12:00:00 PM,Financial Institution,"16xx Berkshire Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Theft,230696018,Theft - Misdemeanor - Ziu,9/6/2023,9:58:00 AM,Parking Lot,"Xx W Greenwood Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230602677,Felony Assault,9/6/2023,9:00:00 AM,Street,"17xx Geraldine Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Vandalism,233010579,Damage To Property,9/6/2023,3:15:00 AM,Street,"6xx E 3rd Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,230695479,Theft - From Motor Vehicle - Petit - Ziu,9/6/2023,3:10:00 AM,Street,"6xx E Starr Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Shoplifting,23000727,Theft - Shoplifting,9/6/2023,2:31:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
All Other - Criminal,230695402,Menacing - Ziu,9/6/2023,1:47:00 AM,Shelter-mission / Homeless,"12xx Corrugated Way, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230695382,Felony Assault,9/6/2023,1:05:00 AM,Gas Station,"12xx E Hudson St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Weapons Violation,230695342,Weapons Offense,9/6/2023,1:00:00 AM,Parking Lot,"12xx E Hudson St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230696625,Motor Vehicle Theft - Generalist,9/5/2023,11:00:00 PM,Street,"20xx Summit St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230697046,Motor Vehicle Theft - Generalist,9/5/2023,10:30:00 PM,Parking Lot,"Xx E 12th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230696394,Motor Vehicle Theft - Generalist,9/5/2023,8:00:00 PM,Street,"Xx E Weber Rd, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230694826,Motor Vehicle Theft - Generalist,9/5/2023,8:00:00 PM,Street,"X Buttles Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Theft,202301399,Theft_without Consent - All Other Thefts,9/5/2023,7:00:00 PM,Single Family Home,"31xx Northwest Blvd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Robbery - Commercial,230694525,Robbery - Business,9/5/2023,5:59:00 PM,Other Retail Store,"31xx N High St, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230695317,Motor Vehicle Theft - Generalist,9/5/2023,4:45:00 PM,Parking Lot,"15xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,01-23-005740,Unspecified,9/5/2023,4:38:00 PM,,"17xx Olentangy River Rd, Clinton Twp, Oh 43224",Address,Franklin County Sheriff's Office
All Other - Criminal,230694562,Menacing - Ziu,9/5/2023,2:00:00 PM,Single Family Home,"11xx Piedmont Rd, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230693788,Menacing - Ziu,9/5/2023,1:15:00 PM,Multiple Dwelling,"13xx E 18th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,01-23-005804,Domestic Violence,9/5/2023,12:14:00 PM,,"20xx Republic Av, Columbus, Oh 43211",Address,Franklin County Sheriff's Office
All Other - Non-Criminal,202301391,Non-criminal Incident,9/5/2023,11:00:00 AM,,"14xx W Lane Ave, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
All Other - Criminal,230693489,Menacing - Ziu,9/5/2023,11:00:00 AM,Street,"21xx Iuka Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,233010374,Theft - From Motor Vehicle - Petit - Ziu,9/5/2023,10:30:00 AM,Parking Lot,"6xx Harley Dr, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Assault - Simple,230693342,Domestic Violence,9/5/2023,10:00:00 AM,Single Family Home,"24xx Lexington Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230693323,Menacing - Ziu,9/5/2023,9:05:00 AM,Street,"20xx Hamilton Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230693139,Truancy,9/5/2023,7:40:00 AM,School,"2xx N 22nd St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Theft,230692874,Theft - Misdemeanor - Ziu,9/5/2023,2:00:00 AM,Single Family Home,"Xx King Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Shoplifting,23000725,Theft - Shoplifting,9/5/2023,12:53:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Shoplifting,23000724,Theft - Shoplifting,9/5/2023,12:21:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
All Other - Non-Criminal,230692557,Missing Person,9/4/2023,9:00:00 PM,Single Family Home,"27xx Atwood Ter, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230692588,Missing Person,9/4/2023,9:00:00 PM,Park/playground,"13xx Briarwood Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230692494,Missing Person,9/4/2023,9:00:00 PM,Park/playground,"13xx Briarwood Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230693588,Motor Vehicle Theft - Generalist,9/4/2023,8:45:00 PM,Parking Lot,"Xx E 12th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230693698,Motor Vehicle Theft - Generalist,9/4/2023,8:00:00 PM,Street,"2xx E 17th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230692553,Menacing - Ziu,9/4/2023,7:00:00 PM,Single Family Home,"10xx E 17th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230691457,Menacing - Ziu,9/4/2023,3:25:00 PM,Single Family Home,"11xx Vesta Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230691164,Felony Assault,9/4/2023,1:24:00 PM,Park/playground,"12xx Briarwood Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,230699405,Theft - Misdemeanor - Ziu,9/4/2023,11:20:00 AM,Single Family Home,"26xx Medary Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Theft,230690729,Theft - Involving Elderly / Disabled - Generalist,9/4/2023,10:18:00 AM,Multiple Dwelling,"10xx E 20th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230690696,Missing Person,9/4/2023,10:01:00 AM,Single Family Home,"2xx N 17th St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230690304,Menacing - Ziu,9/4/2023,3:19:00 AM,Single Family Home,"21xx Summit St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Traffic Incident,230690113,Traffic Arrest,9/4/2023,12:55:00 AM,Street,"N Wall St & W Long St, Columbus, Oh 43215",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230691191,Motor Vehicle Theft - Generalist,9/4/2023,12:00:00 AM,Parking Lot,"13xx Highland St, Apt C Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,230696382,Theft - Misdemeanor - Ziu,9/3/2023,11:00:00 PM,Multiple Dwelling,"11xx Ontario St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230689895,Domestic Violence,9/3/2023,10:45:00 PM,Multiple Dwelling,"11xx E 26th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230690093,Motor Vehicle Theft - Generalist,9/3/2023,10:30:00 PM,Parking Garage,"2xx E Long St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230689764,Motor Vehicle Theft - Generalist,9/3/2023,10:09:00 PM,Restaurant,"12xx Essex Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,230689978,Theft - Misdemeanor - Ziu,9/3/2023,10:00:00 PM,Single Family Home,"1xx N 17th St, Columbus, Oh 43205",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230692741,Missing Person,9/3/2023,8:00:00 PM,Multiple Dwelling,"2xx E Long St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Assault - Simple,230689756,Domestic Violence,9/3/2023,8:00:00 PM,Parking Lot,"E 5th Ave And, Xx Columbus, Oh, 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230690552,Motor Vehicle Theft - Generalist,9/3/2023,7:00:00 PM,Garage/shed,"9xx E 13th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230689122,Menacing - Ziu,9/3/2023,6:00:00 PM,Gas Station,"11xx Duxberry Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Vandalism,230688993,Damage To Property,9/3/2023,5:20:00 PM,Multiple Dwelling,"Xx Mcmillan Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230691829,Motor Vehicle Theft - Generalist,9/3/2023,5:00:00 PM,Street,"3xx E 12th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,230688747,Theft - Misdemeanor - Ziu,9/3/2023,3:15:00 PM,Financial Institution,"27xx Cleveland Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230688639,Motor Vehicle Theft - Generalist,9/3/2023,3:00:00 PM,Street,"16xx Mulby Pl, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,01-23-005773,Larceny/theft,9/3/2023,2:00:00 PM,,"17xx Olentangy River Rd, Clinton Twp, Oh 43224",Address,Franklin County Sheriff's Office
Assault - Simple,230688459,Domestic Violence,9/3/2023,1:10:00 PM,Single Family Home,"11xx Loretta Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230693977,Burglary - Residential,9/3/2023,1:00:00 PM,Multiple Dwelling,"20xx Iuka Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230687500,Robbery - Individual,9/3/2023,3:42:00 AM,Street,"Westerville Rd Cleveland Ave Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Robbery - Individual,230687837,Robbery - Individual,9/3/2023,3:30:00 AM,Street,"Xx And, Cleveland Columbus, Oh 43202",Intersection,Columbus Division Of Police (Oh)
Traffic Incident,230687471,Traffic Arrest,9/3/2023,2:20:00 AM,Street,"N High Ave & W 4th St, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230687374,Domestic Violence,9/3/2023,1:34:00 AM,Single Family Home,"13xx E 17th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230687363,Robbery - Individual,9/3/2023,1:25:00 AM,Street,"N High Pl & Clark St, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,230687318,Drug Offense,9/3/2023,1:05:00 AM,Street,"Denune Avenue/joyce Ave Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Driving Under the Influence (DUI),23000721,Driving While Under The Influence Of Alcohol/ Drugs,9/3/2023,1:02:00 AM,,"8xx Burr Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Vandalism,233010381,Damage To Property,9/3/2023,12:24:00 AM,Street,"14xx N 4th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230687227,Domestic Violence,9/3/2023,12:20:00 AM,Multiple Dwelling,"14xx N 4th St, Apt F Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Sexual Offense,230687481,Public Indecency,9/3/2023,12:00:00 AM,Street,"1xx E Oakland Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230687147,Burglary - Residential,9/2/2023,11:51:00 PM,Single Family Home,"14xx E Blake Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230687017,Menacing - Ziu,9/2/2023,10:55:00 PM,Single Family Home,"14xx Brooks Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230686820,Motor Vehicle Theft - Generalist,9/2/2023,9:20:00 PM,Restaurant,"8xx W 3rd Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Vandalism,230686634,Damage To Property,9/2/2023,8:06:00 PM,,"11xx E Weber Rd, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Traffic Incident,230686514,Traffic Arrest,9/2/2023,7:20:00 PM,Street,"11xx Dublin Rd, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230686467,Menacing - Ziu,9/2/2023,7:08:00 PM,Single Family Home,"23xx Grasmere Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,233010334,Menacing - Ziu,9/2/2023,5:30:00 PM,Street,"Summit & E 15th, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Weapons Violation,230686059,Weapons Offense,9/2/2023,4:35:00 PM,70 - Other Vehicle,"13xx Manchester Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230686454,Robbery - Individual,9/2/2023,4:30:00 PM,Parking Lot,"Xx S Young St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Theft,230685912,Theft - Misdemeanor - Ziu,9/2/2023,3:36:00 PM,Street,"1xx W North, Broadway Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230687119,Burglary - Residential,9/2/2023,1:45:00 PM,Multiple Dwelling,"31xx Dorriss Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Theft,230685480,Theft Of Utilities,9/2/2023,12:45:00 PM,Single Family Home,"11xx E 26th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230685538,Missing Person,9/2/2023,12:20:00 PM,Single Family Home,"10xx Duxberry Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,230685274,Theft - Misdemeanor - Ziu,9/2/2023,10:52:00 AM,Grocery/supermarket,"8xx W 3rd Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230685166,Menacing - Ziu,9/2/2023,10:15:00 AM,Department/discount Store,"23xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,230685195,Theft - Misdemeanor - Ziu,9/2/2023,10:14:00 AM,Variety/convenience Store,"6xx E Hidson St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230702317,Motor Vehicle Theft - Generalist,9/2/2023,8:00:00 AM,Auto Shop,"29xx Hiawatha St, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Assault - Simple,230684882,Domestic Violence,9/2/2023,7:11:00 AM,Single Family Home,"12xx E 23rd Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Vandalism,233010341,Damage To Property,9/2/2023,4:27:00 AM,Street,"Xx E Russell St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Traffic Incident,230684748,Traffic Arrest,9/2/2023,4:25:00 AM,Street,"22xx Hiawatha Park Dr, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230684750,Traffic Arrest,9/2/2023,4:04:00 AM,Street,"Xx E Russell St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230684730,Robbery - Individual,9/2/2023,3:46:00 AM,Street,"Iro, 23xx Hiawatha Park Dr, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,230684582,Traffic Arrest,9/2/2023,2:10:00 AM,Street,"E 11th Ave & Jefferson Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230684527,Motor Vehicle Theft - Generalist,9/2/2023,1:26:00 AM,Gas Station,"17xx E Hudson St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230684483,Felony Assault,9/2/2023,1:22:00 AM,Street,"N High Blvd & E Nationwide St, Columbus, Oh 43210",Intersection,Columbus Division Of Police (Oh)
Alcohol Violation,230684399,Liquor Law Offense,9/2/2023,12:30:00 AM,Street,"W Starr St & N High Ave, Columbus, Oh 43205",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230685210,Motor Vehicle Theft - Generalist,9/2/2023,12:00:00 AM,Parking Lot,"2xx E 12th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230685279,Motor Vehicle Theft - Generalist,9/2/2023,12:00:00 AM,Parking Lot,"2xx Chittenden Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230705052,Missing Person,9/2/2023,12:00:00 AM,Single Family Home,"5xx Bolivar St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Weapons Violation,230684102,Weapons Offense,9/1/2023,10:38:00 PM,Street,"St Clair Ave & Leonard Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230686644,Motor Vehicle Theft - Generalist,9/1/2023,10:00:00 PM,Parking Lot,"3xx Alexandria Colony Ct E, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
Assault - Simple,230465846,Domestic Violence,9/1/2023,9:30:00 PM,Single Family Home,"10xx Chittenden Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301341,Issuance Of Warrant Upon Failure To Appear,9/1/2023,9:27:00 PM,Street,"10xx Dublin Rd, Upper Arlington, Oh 43215",Address,Upper Arlington Police Department
All Other - Non-Criminal,230684384,Missing Person,9/1/2023,9:00:00 PM,Street,"13xx 24th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Driving Under the Influence (DUI),23000716,Driving While Under The Influence Of Alcohol/ Drugs,9/1/2023,7:33:00 PM,,"13xx W 1st Ave Avondale Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Motor Vehicle Theft,230747373,Motor Vehicle Theft - Generalist,9/24/2023,9:39:00 PM,Street,"15xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230747250,Missing Person,9/24/2023,9:13:00 PM,Street,"Jefferson Ave & E 17th Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
All Other - Criminal,202301455,Issuance Of Warrant Upon Failure To Appear,9/24/2023,7:19:00 PM,Street,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
All Other - Criminal,230746370,Menacing - Ziu,9/24/2023,3:53:00 PM,Parking Lot,"11xx E Weber Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Theft,23000776,Theft - From Building,9/24/2023,2:43:00 PM,,"9xx Dorchester Way, Grandview Heights, Oh",Address,Grandview Heights Police Department
All Other - Non-Criminal,202301453,Non-criminal Incident,9/24/2023,2:06:00 PM,,"26xx Mount Holyoke Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
All Other - Criminal,230746166,Menacing - Ziu,9/24/2023,1:59:00 PM,Multiple Dwelling,"8xx Mansfield Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230748485,Motor Vehicle Theft - Generalist,9/24/2023,12:00:00 PM,Street,"Chesnut & 3rd, Columbus, Oh 43215",Intersection,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230745794,Motor Vehicle Theft - Generalist,9/24/2023,10:58:00 AM,Street,"Pontiac Ave & Akola St, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230746064,Missing Person,9/24/2023,10:45:00 AM,Single Family Home,"9xx Camden Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230745704,Domestic Violence,9/24/2023,9:30:00 AM,Single Family Home,"4xx E 12th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,23000775,Possession Of Drugs,9/24/2023,1:19:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Weapons Violation,230744983,Weapons Offense,9/24/2023,12:45:00 AM,Street,"9xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Vandalism,202301452,Criminal Damaging Or Endangering_knowingly Any Means,9/24/2023,12:00:00 AM,Single Family Home,"20xx W 5th Ave, Upper Arlington, Oh 43212",Address,Upper Arlington Police Department
