Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
Theft,230737468,Theft - Misdemeanor - Ziu,9/20/2023,12:00:00 PM,69 - Cyberspace,"Xx E 4th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230735076,Menacing - Ziu,9/20/2023,12:00:00 PM,School,"39xx Indianola Ave, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230734248,Menacing - Ziu,9/20/2023,10:16:00 AM,Single Family Home,"11xx Peters Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,230735922,Theft - Misdemeanor - Ziu,9/20/2023,9:00:00 AM,School,"30xx Eisenhower Rd, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230734658,Motor Vehicle Theft - Generalist,9/20/2023,9:00:00 AM,Yard,"25xx Indianola Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Shoplifting,23000762,Theft - Shoplifting,9/20/2023,3:21:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Burglary from Motor Vehicle,230733645,Theft - From Motor Vehicle - Petit - Ziu,9/20/2023,12:50:00 AM,Parking Garage,"Xx S Front St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230733457,Missing Person,9/20/2023,12:10:00 AM,Single Family Home,"15xx W 6th Ave, Columbus, Oh 43212",Address,Columbus Division Of Police (Oh)
Traffic Incident,230733530,Traffic Arrest,9/20/2023,12:06:00 AM,Street,"Parkwood St & E Hudson Ave, Columbus, Oh 43224",Intersection,Columbus Division Of Police (Oh)
Fraud / Forgery,202301446,"Identity Fraud_obtain, Possess, Or Use To Hold Out As Other Person",9/20/2023,12:01:00 AM,Single Family Home,"29xx North Star Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Traffic Incident,230733402,Traffic Arrest,9/19/2023,10:45:00 PM,Street,"W 5th Ave & Broadview Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230733306,Domestic Violence,9/19/2023,9:57:00 PM,Multiple Dwelling,"4xx Helen Ct, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230733086,Domestic Violence,9/19/2023,8:13:00 PM,Multiple Dwelling,"10xx Atcheson St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230732358,Motor Vehicle Theft - Generalist,9/19/2023,3:30:00 PM,Street,"24xx Findley Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Vandalism,23000760,Criminal Damaging/endangering,9/19/2023,2:19:00 PM,,"11xx W 1st Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
All Other - Criminal,230732094,Menacing - Ziu,9/19/2023,2:03:00 PM,Street,"E 16th Ave & Hamilton Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230731932,Domestic Violence,9/19/2023,12:45:00 PM,Street,"15xx Isabel Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301430,Issuance Of Warrant Upon Failure To Appear,9/19/2023,12:38:00 PM,Other Outside Location,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Traffic Incident,230731630,Accident Report - Hit/skip - Solved,9/19/2023,10:44:00 AM,Street,"11xx Cleveland Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Vandalism,230731111,Damage To Property,9/19/2023,5:40:00 AM,Street,"24xx Lexington Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,01-23-006025,Complaint,9/19/2023,12:00:00 AM,Single Family Home,"20xx Republic Avenue, Columbus, Oh 43211",Address,Franklin County Sheriff's Office
Burglary - Residential,230737688,Burglary - Residential,9/19/2023,12:00:00 AM,Single Family Home,"9xx E 12th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230730972,Motor Vehicle Theft - Generalist,9/18/2023,10:00:00 PM,Parking Lot,"3xx E 12th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230733947,Motor Vehicle Theft - Generalist,9/18/2023,8:30:00 PM,Single Family Home,"2xx E Oakland Ave, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Assault - Simple,230731861,Domestic Violence,9/18/2023,8:00:00 PM,Shelter-mission / Homeless,"12xx Corrugated Way, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230730643,Burglary - Residential,9/18/2023,7:30:00 PM,Single Family Home,"12xx Republic Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Drugs / Narcotics Violation,202301428,511.04c2 Possess Marijuana,9/18/2023,6:38:00 PM,Street,"17xx North Star Rd, Upper Arlington, Oh 43212",Address,Upper Arlington Police Department
Theft,233011064,Theft - Misdemeanor - Ziu,9/18/2023,6:15:00 PM,Multiple Dwelling,"5xx Stinchcomb Dr, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Vandalism,230730002,Damage To Property,9/18/2023,5:00:00 PM,Multiple Dwelling,"9xx E Weber Rd, Apt B Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Theft,230734926,Theft - Misdemeanor - Ziu,9/18/2023,4:14:00 PM,Other Business Office,"Xx E Gay St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230729962,Menacing - Ziu,9/18/2023,2:55:00 PM,Multiple Dwelling,"18xx N 4th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230728901,Missing Person,9/18/2023,10:00:00 AM,Single Family Home,"14xx Duxberry Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230731521,Motor Vehicle Theft - Generalist,9/18/2023,8:00:00 AM,Other Outside Location,"38xx Indianola Ave, Columbus, Oh 43214",Address,Columbus Division Of Police (Oh)
Sexual Offense,230730675,Public Indecency,9/18/2023,6:05:00 AM,Street,"Mcguffey Ave & Alberdeen Rd, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Burglary - Residential,230728459,Burglary - Residential,9/18/2023,2:15:00 AM,Single Family Home,"24xx N 4th St, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh)
Shoplifting,23000758,Theft - Shoplifting,9/18/2023,1:08:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Robbery - Individual,230728399,Robbery - Individual,9/18/2023,1:00:00 AM,Gas Station,"15xx Cordell Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Traffic Incident,01-23-005992,Hit Skip,9/18/2023,12:43:00 AM,,"Nb On 71 From, 1xx Columbus, Oh",Street,Franklin County Sheriff's Office
Motor Vehicle Theft,230728813,Motor Vehicle Theft - Generalist,9/18/2023,12:00:00 AM,Street,"16xx Oakland Park Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230727926,Menacing - Ziu,9/17/2023,9:03:00 PM,Multiple Dwelling,"3xx E 20th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Aggravated,230727853,Felony Assault,9/17/2023,8:32:00 PM,Street,"21xx Ontario St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301427,Issuance Of Warrant Upon Failure To Appear,9/17/2023,7:20:00 PM,Street,"36xx Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Motor Vehicle Theft,230727710,Motor Vehicle Theft - Generalist,9/17/2023,6:20:00 PM,Parking Lot,"12xx E Hudson St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Weapons Violation,202301426,Carrying Concealed Weapons_handgun Other Than A Dangerous Ordnance,9/17/2023,4:27:00 PM,Street,"Kenny Rd & Tremont Rd, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department
Assault - Simple,230727090,Domestic Violence,9/17/2023,3:33:00 PM,Multiple Dwelling,"9xx E Weber Rd, Apt B Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,202301425,Issuance Of Warrant Upon Failure To Appear,9/17/2023,3:24:00 PM,Street,"10xx Grandview Ave Grandview Heights, Oh, 43212",Address,Upper Arlington Police Department
All Other - Criminal,230726906,Menacing - Ziu,9/17/2023,2:19:00 PM,Multiple Dwelling,"2xx W 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
All Other - Non-Criminal,230747077,Missing Person,9/17/2023,12:00:00 PM,Single Family Home,"9xx E 18th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Robbery - Individual,230726528,Robbery - Individual,9/17/2023,11:14:00 AM,Street,"12xx E 16th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230726653,Menacing - Ziu,9/17/2023,11:00:00 AM,Yard,"10xx E 22nd Ave, Columbus, Oh 43212",Address,Columbus Division Of Police (Oh)
Assault - Simple,230726520,Domestic Violence,9/17/2023,11:00:00 AM,Single Family Home,"14xx E 25th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230726487,Domestic Violence,9/17/2023,10:51:00 AM,Single Family Home,"29xx Brement St, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230726172,Motor Vehicle Theft - Generalist,9/17/2023,8:42:00 AM,Single Family Home,"Xx W 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230726289,Motor Vehicle Theft - Generalist,9/17/2023,8:00:00 AM,Parking Lot,"18xx Lakeview, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230727099,Motor Vehicle Theft - Generalist,9/17/2023,6:00:00 AM,Single Family Home,"14xx Loretta Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Assault - Simple,230726002,Domestic Violence,9/17/2023,3:30:00 AM,Single Family Home,"14xx E 19th Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Weapons Violation,230725906,Discharging Firearms,9/17/2023,2:47:00 AM,Multiple Dwelling,"3xx Chittendedn Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Traffic Incident,230725808,Traffic Arrest,9/17/2023,1:52:00 AM,Street,"E Nationwide St & N 4th Blvd, Columbus, Oh 43215",Intersection,Columbus Division Of Police (Oh)
Shoplifting,23000757,Theft - Shoplifting,9/17/2023,1:00:00 AM,,"7xx Grandview Ave, Grandview Heights, Oh",Address,Grandview Heights Police Department
Robbery - Individual,230726095,Robbery - Individual,9/17/2023,1:00:00 AM,Multiple Dwelling,"19xx Indianola Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230725843,Domestic Violence,9/17/2023,1:00:00 AM,Single Family Home,"14xx Briarwood Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
